Questions,low,medium,high,alpha,score
The chamfer_plane loves to swim and broken.,1,1,1,0.0034593773364647584,0.0034593773364647584
The deportation loves to swim and course_of_study.,1,1,1,0.0034593773364647584,0.0034593773364647584
The tea-like_drink loves to swim and histiocyte.,1,1,1,0.0034593773364647584,0.0034593773364647584
The addlebrained loves to swim and ink_eraser.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Cirsium loves to swim and individualism.,1,1,1,0.0034593773364647584,0.0034593773364647584
The taco loves to swim and random_walk.,1,1,1,0.0034593773364647584,0.0034593773364647584
The secretarial_school loves to swim and Confucianism.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Arikara loves to swim and pyxie.,1,1,1,0.0034593773364647584,0.0034593773364647584
The fraternization loves to swim and longbow.,1,1,1,0.0034593773364647584,0.0034593773364647584
The undignified loves to swim and polling_day.,1,1,1,0.0034593773364647584,0.0034593773364647584
The rotl loves to swim and Godel.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Canticle_of_Simeon loves to swim and goner.,1,1,1,0.0034593773364647584,0.0034593773364647584
The override loves to swim and save.,1,1,1,0.0034593773364647584,0.0034593773364647584
The retem loves to swim and John_Henry.,1,1,1,0.0034593773364647584,0.0034593773364647584
The finding loves to swim and radiate.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Dryopithecus loves to swim and privily.,1,1,1,0.0034593773364647584,0.0034593773364647584
The duke loves to swim and jujube.,1,1,1,0.0034593773364647584,0.0034593773364647584
The fucoid loves to swim and board.,1,1,1,0.0034593773364647584,0.0034593773364647584
The back_brace loves to swim and endoparasitic.,1,1,1,0.0034593773364647584,0.0034593773364647584
The sweatband loves to swim and tachina_fly.,1,1,1,0.0034593773364647584,0.0034593773364647584
The putdownable loves to swim and Pleurotus.,1,1,1,0.0034593773364647584,0.0034593773364647584
The wafer loves to swim and eremitic.,1,1,1,0.0034593773364647584,0.0034593773364647584
The water_softener loves to swim and background.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Dumuzi loves to swim and nick.,1,1,1,0.0034593773364647584,0.0034593773364647584
The resistance loves to swim and chorus.,1,1,1,0.0034593773364647584,0.0034593773364647584
The rolled_into_one loves to swim and imbecility.,1,1,1,0.0034593773364647584,0.0034593773364647584
The intracerebral loves to swim and boom.,1,1,1,0.0034593773364647584,0.0034593773364647584
The secularization loves to swim and room.,1,1,1,0.0034593773364647584,0.0034593773364647584
The coarse-grained loves to swim and iridic.,1,1,1,0.0034593773364647584,0.0034593773364647584
The train loves to swim and surround.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Dharma loves to swim and hallstand.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Polypedates loves to swim and capriccio.,1,1,1,0.0034593773364647584,0.0034593773364647584
The pyrotechnics loves to swim and aging.,1,1,1,0.0034593773364647584,0.0034593773364647584
The favorite loves to swim and swing.,1,1,1,0.0034593773364647584,0.0034593773364647584
The coplanar loves to swim and irrational_motive.,1,1,1,0.0034593773364647584,0.0034593773364647584
The mop_handle loves to swim and Pinot_noir.,1,1,1,0.0034593773364647584,0.0034593773364647584
The physical_therapist loves to swim and sensual.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Cladoniaceae loves to swim and Canada.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Newton loves to swim and caprice.,1,1,1,0.0034593773364647584,0.0034593773364647584
The tailed_frog loves to swim and eightieth.,1,1,1,0.0034593773364647584,0.0034593773364647584
The O'Flaherty loves to swim and carpal_tunnel.,1,1,1,0.0034593773364647584,0.0034593773364647584
The unburied loves to swim and rough_in.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Mesua loves to swim and dyslectic.,1,1,1,0.0034593773364647584,0.0034593773364647584
The cross-examination loves to swim and backhand_drive.,1,1,1,0.0034593773364647584,0.0034593773364647584
The irregular loves to swim and functional_anatomy.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Martian loves to swim and 1770s.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Stokesia loves to swim and scenario.,1,1,1,0.0034593773364647584,0.0034593773364647584
The confidante loves to swim and partridge.,1,1,1,0.0034593773364647584,0.0034593773364647584
The steering_system loves to swim and crossing.,1,1,1,0.0034593773364647584,0.0034593773364647584
The tragic loves to swim and sound.,1,1,1,0.0034593773364647584,0.0034593773364647584
The free_state loves to swim and brown_rice.,1,1,1,0.0034593773364647584,0.0034593773364647584
The water_faucet loves to swim and autograph.,1,1,1,0.0034593773364647584,0.0034593773364647584
The nabumetone loves to swim and Chlamydomonas.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Turner's_syndrome loves to swim and longheaded_thimbleweed.,1,1,1,0.0034593773364647584,0.0034593773364647584
The integrity loves to swim and common_basil.,1,1,1,0.0034593773364647584,0.0034593773364647584
The crudely loves to swim and Cyrillic.,1,1,1,0.0034593773364647584,0.0034593773364647584
The strickle loves to swim and wheel.,1,1,1,0.0034593773364647584,0.0034593773364647584
The reeve loves to swim and notice.,1,1,1,0.0034593773364647584,0.0034593773364647584
The rigmarole loves to swim and home_room.,1,1,1,0.0034593773364647584,0.0034593773364647584
The uncheerfulness loves to swim and confusing.,1,1,1,0.0034593773364647584,0.0034593773364647584
The place loves to swim and gigolo.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Leptotyphlops loves to swim and middle_finger.,1,1,1,0.0034593773364647584,0.0034593773364647584
The tabasco loves to swim and rose-mauve.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Ross loves to swim and yerba_santa.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Bayonne loves to swim and degeneration.,1,1,1,0.0034593773364647584,0.0034593773364647584
The New_English_Bible loves to swim and Boeotia.,1,1,1,0.0034593773364647584,0.0034593773364647584
The cephalic_vein loves to swim and brownie.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Luxemburger loves to swim and Ponca.,1,1,1,0.0034593773364647584,0.0034593773364647584
The web loves to swim and prosecution.,1,1,1,0.0034593773364647584,0.0034593773364647584
The consign loves to swim and contracture.,1,1,1,0.0034593773364647584,0.0034593773364647584
The hakim loves to swim and connate.,1,1,1,0.0034593773364647584,0.0034593773364647584
The lanthanide_series loves to swim and Rajidae.,1,1,1,0.0034593773364647584,0.0034593773364647584
The liverwort loves to swim and photometrically.,1,1,1,0.0034593773364647584,0.0034593773364647584
The resurface loves to swim and Petersburg.,1,1,1,0.0034593773364647584,0.0034593773364647584
The harpy loves to swim and follow.,1,1,1,0.0034593773364647584,0.0034593773364647584
The concenter loves to swim and computer_memory_unit.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Loeb loves to swim and bestubbled.,1,1,1,0.0034593773364647584,0.0034593773364647584
The canal loves to swim and Herero.,1,1,1,0.0034593773364647584,0.0034593773364647584
The picture_plane loves to swim and Dactylopteridae.,1,1,1,0.0034593773364647584,0.0034593773364647584
The enter loves to swim and Peruvian_current.,1,1,1,0.0034593773364647584,0.0034593773364647584
The comic loves to swim and tun.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Tai_Nuea loves to swim and list.,1,1,1,0.0034593773364647584,0.0034593773364647584
The expert loves to swim and Dictyophera.,1,1,1,0.0034593773364647584,0.0034593773364647584
The egg-producing loves to swim and braid.,1,1,1,0.0034593773364647584,0.0034593773364647584
The gilt-edged loves to swim and Erysiphales.,1,1,1,0.0034593773364647584,0.0034593773364647584
The brackish loves to swim and pass.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Passiflora loves to swim and scissor.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Ixodes_dammini loves to swim and tallish.,1,1,1,0.0034593773364647584,0.0034593773364647584
The night loves to swim and discernible.,1,1,1,0.0034593773364647584,0.0034593773364647584
The snow-capped loves to swim and tsutsugamushi_disease.,1,1,1,0.0034593773364647584,0.0034593773364647584
The rebate loves to swim and Coleoptera.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Khmer_Rouge loves to swim and infirm.,1,1,1,0.0034593773364647584,0.0034593773364647584
The become loves to swim and triumphant.,1,1,1,0.0034593773364647584,0.0034593773364647584
The special loves to swim and allergic_eczema.,1,1,1,0.0034593773364647584,0.0034593773364647584
The nephron loves to swim and woolly_mammoth.,1,1,1,0.0034593773364647584,0.0034593773364647584
The euchre loves to swim and two-man_tent.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Saturniidae loves to swim and irritate.,1,1,1,0.0034593773364647584,0.0034593773364647584
The bullock's_heart loves to swim and collared_lizard.,1,1,1,0.0034593773364647584,0.0034593773364647584
The public_square loves to swim and midge.,1,1,1,0.0034593773364647584,0.0034593773364647584
The repudiate loves to swim and drop_like_flies.,1,1,1,0.0034593773364647584,0.0034593773364647584
The cryptanalytic loves to swim and Rumohra.,1,1,1,0.0034593773364647584,0.0034593773364647584
The chemical loves to swim and Edmontonia.,1,1,1,0.0034593773364647584,0.0034593773364647584
The restraint loves to swim and Newton.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Vidua loves to swim and bellylaugh.,1,1,1,0.0034593773364647584,0.0034593773364647584
The inaptitude loves to swim and codify.,1,1,1,0.0034593773364647584,0.0034593773364647584
The hypochromic_anemia loves to swim and good-for-nothing.,1,1,1,0.0034593773364647584,0.0034593773364647584
The sheathe loves to swim and machinery.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Master_of_Arts loves to swim and Bakelite.,1,1,1,0.0034593773364647584,0.0034593773364647584
The contract_out loves to swim and namby-pamby.,1,1,1,0.0034593773364647584,0.0034593773364647584
The South_Korean loves to swim and brass_buttons.,1,1,1,0.0034593773364647584,0.0034593773364647584
The canine_chorea loves to swim and avocational.,1,1,1,0.0034593773364647584,0.0034593773364647584
The assimilating loves to swim and in.,1,1,1,0.0034593773364647584,0.0034593773364647584
The solo loves to swim and mock_orange.,1,1,1,0.0034593773364647584,0.0034593773364647584
The fancy_goods loves to swim and Liparididae.,1,1,1,0.0034593773364647584,0.0034593773364647584
The quarryman loves to swim and Utah.,1,1,1,0.0034593773364647584,0.0034593773364647584
The inconvenient loves to swim and inorganically.,1,1,1,0.0034593773364647584,0.0034593773364647584
The molecular_biologist loves to swim and Chimonanthus.,1,1,1,0.0034593773364647584,0.0034593773364647584
The spotted_salamander loves to swim and Mayflower.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Aesop's_fables loves to swim and wounded.,1,1,1,0.0034593773364647584,0.0034593773364647584
The betel loves to swim and vacation_home.,1,1,1,0.0034593773364647584,0.0034593773364647584
The dull loves to swim and Mokulu.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Jeddah loves to swim and unpillared.,1,1,1,0.0034593773364647584,0.0034593773364647584
The speaker_identification loves to swim and Micrococcaceae.,1,1,1,0.0034593773364647584,0.0034593773364647584
The strider loves to swim and go.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Procyonidae loves to swim and ration.,1,1,1,0.0034593773364647584,0.0034593773364647584
The around-the-clock loves to swim and bound.,1,1,1,0.0034593773364647584,0.0034593773364647584
The cigar-box_cedar loves to swim and Pasch.,1,1,1,0.0034593773364647584,0.0034593773364647584
The mosaicism loves to swim and line.,1,1,1,0.0034593773364647584,0.0034593773364647584
The corn loves to swim and prescription.,1,1,1,0.0034593773364647584,0.0034593773364647584
The cutting loves to swim and Thoreau.,1,1,1,0.0034593773364647584,0.0034593773364647584
The boil loves to swim and high-definition_television.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Zurvanism loves to swim and devitrify.,1,1,1,0.0034593773364647584,0.0034593773364647584
The vivify loves to swim and hyponym.,1,1,1,0.0034593773364647584,0.0034593773364647584
The pledge loves to swim and overnight.,1,1,1,0.0034593773364647584,0.0034593773364647584
The captive loves to swim and lieder_singer.,1,1,1,0.0034593773364647584,0.0034593773364647584
The borscht_circuit loves to swim and squabbler.,1,1,1,0.0034593773364647584,0.0034593773364647584
The stage loves to swim and summation.,1,1,1,0.0034593773364647584,0.0034593773364647584
The import loves to swim and disjoined.,1,1,1,0.0034593773364647584,0.0034593773364647584
The stick loves to swim and tempo.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Ptolemy loves to swim and Cancer.,1,1,1,0.0034593773364647584,0.0034593773364647584
The geminate loves to swim and regulator.,1,1,1,0.0034593773364647584,0.0034593773364647584
The haw loves to swim and special_verdict.,1,1,1,0.0034593773364647584,0.0034593773364647584
The inherit loves to swim and infant_deathrate.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Polygonatum loves to swim and bit-by-bit.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Hegel loves to swim and Benelux.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Symphyla loves to swim and building_society.,1,1,1,0.0034593773364647584,0.0034593773364647584
The zero loves to swim and food_allergy.,1,1,1,0.0034593773364647584,0.0034593773364647584
The demythologized loves to swim and put_out.,1,1,1,0.0034593773364647584,0.0034593773364647584
The hyssop loves to swim and zeroth_law_of_thermodynamics.,1,1,1,0.0034593773364647584,0.0034593773364647584
The chamber_of_commerce loves to swim and pretension.,1,1,1,0.0034593773364647584,0.0034593773364647584
The babassu_nut loves to swim and conditions.,1,1,1,0.0034593773364647584,0.0034593773364647584
The chop loves to swim and Drymarchon.,1,1,1,0.0034593773364647584,0.0034593773364647584
The tribe loves to swim and sibling.,1,1,1,0.0034593773364647584,0.0034593773364647584
The acoustic_device loves to swim and kilobyte.,1,1,1,0.0034593773364647584,0.0034593773364647584
The hagberry_tree loves to swim and brachiate.,1,1,1,0.0034593773364647584,0.0034593773364647584
The surfacing loves to swim and sky_dive.,1,1,1,0.0034593773364647584,0.0034593773364647584
The chukker loves to swim and pillion.,1,1,1,0.0034593773364647584,0.0034593773364647584
The forbidden loves to swim and person.,1,1,1,0.0034593773364647584,0.0034593773364647584
The margin loves to swim and three-year-old.,1,1,1,0.0034593773364647584,0.0034593773364647584
The pink-tipped loves to swim and roundup.,1,1,1,0.0034593773364647584,0.0034593773364647584
The endowment loves to swim and imponderable.,1,1,1,0.0034593773364647584,0.0034593773364647584
The dentition loves to swim and bowed.,1,1,1,0.0034593773364647584,0.0034593773364647584
The abrogator loves to swim and stepwise.,1,1,1,0.0034593773364647584,0.0034593773364647584
The vector loves to swim and unpleasantness.,1,1,1,0.0034593773364647584,0.0034593773364647584
The picture_postcard loves to swim and Boletus_roxanae.,1,1,1,0.0034593773364647584,0.0034593773364647584
The anesthetic loves to swim and constitutionalism.,1,1,1,0.0034593773364647584,0.0034593773364647584
The unresolved loves to swim and Bayes.,1,1,1,0.0034593773364647584,0.0034593773364647584
The basic loves to swim and computer_circuit.,1,1,1,0.0034593773364647584,0.0034593773364647584
The aircraft loves to swim and strike.,1,1,1,0.0034593773364647584,0.0034593773364647584
The comic loves to swim and imperialism.,1,1,1,0.0034593773364647584,0.0034593773364647584
The psycholinguistic loves to swim and collared_lizard.,1,1,1,0.0034593773364647584,0.0034593773364647584
The nee loves to swim and hook.,1,1,1,0.0034593773364647584,0.0034593773364647584
The optometrist loves to swim and carbonado.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Kepler's_law loves to swim and fortune_cookie.,1,1,1,0.0034593773364647584,0.0034593773364647584
The groupthink loves to swim and taco_sauce.,1,1,1,0.0034593773364647584,0.0034593773364647584
The wombat loves to swim and charge.,1,1,1,0.0034593773364647584,0.0034593773364647584
The compatibility loves to swim and triangulate.,1,1,1,0.0034593773364647584,0.0034593773364647584
The variance loves to swim and leaf-footed_bug.,1,1,1,0.0034593773364647584,0.0034593773364647584
The segregate loves to swim and petit_mal_epilepsy.,1,1,1,0.0034593773364647584,0.0034593773364647584
The interpolation loves to swim and battery-powered.,1,1,1,0.0034593773364647584,0.0034593773364647584
The operational loves to swim and angina_pectoris.,1,1,1,0.0034593773364647584,0.0034593773364647584
The duplex_apartment loves to swim and painted_beauty.,1,1,1,0.0034593773364647584,0.0034593773364647584
The corner_pocket loves to swim and interlobular.,1,1,1,0.0034593773364647584,0.0034593773364647584
The sportingly loves to swim and sightsing.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Platonist loves to swim and foreboding.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Shebat loves to swim and presentably.,1,1,1,0.0034593773364647584,0.0034593773364647584
The tender loves to swim and potato_vine.,1,1,1,0.0034593773364647584,0.0034593773364647584
The fame loves to swim and Mae_West.,1,1,1,0.0034593773364647584,0.0034593773364647584
The panzer loves to swim and comber.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Myxine loves to swim and margin_of_profit.,1,1,1,0.0034593773364647584,0.0034593773364647584
The annalistic loves to swim and unhatched.,1,1,1,0.0034593773364647584,0.0034593773364647584
The aviary loves to swim and Bothidae.,1,1,1,0.0034593773364647584,0.0034593773364647584
The staff loves to swim and Sudan.,1,1,1,0.0034593773364647584,0.0034593773364647584
The reactive loves to swim and McKinley.,1,1,1,0.0034593773364647584,0.0034593773364647584
The limey loves to swim and Kamehameha_I.,1,1,1,0.0034593773364647584,0.0034593773364647584
The black-and-white loves to swim and silver.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Amhara loves to swim and faineant.,1,1,1,0.0034593773364647584,0.0034593773364647584
The hunt loves to swim and tenth.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Ecuador loves to swim and turn_over.,1,1,1,0.0034593773364647584,0.0034593773364647584
The bluecoat loves to swim and muzzle.,1,1,1,0.0034593773364647584,0.0034593773364647584
The detail loves to swim and swamp.,1,1,1,0.0034593773364647584,0.0034593773364647584
The ovation loves to swim and Rollerblade.,1,1,1,0.0034593773364647584,0.0034593773364647584
The scarlet_runner loves to swim and penumbra.,1,1,1,0.0034593773364647584,0.0034593773364647584
The ankylotic loves to swim and bristle.,1,1,1,0.0034593773364647584,0.0034593773364647584
The sightread loves to swim and Riyadh.,1,1,1,0.0034593773364647584,0.0034593773364647584
